"Name","Team","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Al Reyes","Cardinals","2","2","5.0","7.20","0.00","0.00",".000","100.0 %","36.4 %","0.0 %","0.00","1.45","2.87","0.2","1005"
"Chris Saenz","Brewers","1","1","6.0","10.50","4.50","0.00",".154","100.0 %","46.2 %","0.0 %","0.00","2.72","3.90","0.2","1913"
"Jason Stanford","Indians","2","2","11.0","4.09","4.09","0.00",".308","94.4 %","37.8 %","0.0 %","0.82","3.78","5.58","0.2","1763"
"Rick Bauer","Orioles","2","2","10.0","7.20","1.80","0.00",".276","80.0 %","62.1 %","0.0 %","1.80","2.05","2.76","0.4","125"
"Ricardo Rodriguez","Rangers","4","4","23.0","5.09","4.30","0.39",".282","76.7 %","46.8 %","3.7 %","1.96","3.92","5.02","0.5","1585"
"David Weathers","Marlins","2","2","9.0","6.00","4.00","1.00",".200","93.0 %","48.0 %","12.5 %","2.00","4.49","4.31","0.1","902"
"Jake Peavy","Padres","27","27","166.1","9.36","2.87","0.70",".300","83.9 %","42.3 %","8.0 %","2.27","3.14","3.51","4.1","1051"
"Horacio Ramirez","Braves","9","9","59.1","4.70","4.40","1.06",".226","80.7 %","53.5 %","14.9 %","2.28","5.00","4.60","0.3","110"
"Luke Hudson","Reds","9","9","48.1","7.08","4.66","0.56",".243","79.9 %","33.1 %","4.6 %","2.42","3.96","5.06","0.9","1542"
"Gustavo Chacin","Blue Jays","2","2","14.0","3.86","1.93","0.00",".190","66.7 %","42.9 %","0.0 %","2.57","3.05","4.77","0.4","2060"
"Randy Johnson","Diamondbacks","35","35","245.2","10.62","1.61","0.66",".264","69.5 %","43.1 %","8.0 %","2.60","2.30","2.64","9.6","60"
"Johan Santana","Twins","34","34","228.0","10.46","2.13","0.95",".250","80.4 %","40.6 %","10.6 %","2.61","2.92","2.96","6.8","755"
"Ben Sheets","Brewers","34","34","237.0","10.03","1.22","0.95",".288","75.3 %","42.6 %","10.7 %","2.70","2.65","2.68","8.0","710"
"Carlos Zambrano","Cubs","31","31","209.2","8.07","3.48","0.60",".274","79.1 %","50.7 %","8.0 %","2.75","3.57","3.89","4.7","305"
"Roger Clemens","Astros","33","33","214.1","9.15","3.32","0.63",".275","76.4 %","48.7 %","8.3 %","2.98","3.11","3.40","5.7","815"
"Oliver Perez","Pirates","30","30","196.0","10.97","3.72","1.01",".271","80.3 %","35.5 %","9.9 %","2.98","3.45","3.60","4.5","1514"
"Carl Pavano","Marlins","31","31","222.1","5.63","1.98","0.65",".282","76.9 %","47.6 %","7.3 %","3.00","3.54","4.01","4.5","790"
"Randy Flores","Cardinals","1","1","3.0","6.00","0.00","0.00",".400","80.0 %","44.4 %","0.0 %","3.00","2.72","5.08","0.1","1446"
"Brad Penny","- - -","24","24","143.0","6.99","2.83","0.76",".282","76.3 %","42.6 %","7.7 %","3.15","3.59","4.04","3.0","535"
"Jason Schmidt","Giants","32","32","225.0","10.04","3.08","0.72",".263","73.3 %","44.6 %","8.4 %","3.20","2.92","3.24","6.4","1131"
"Al Leiter","Mets","30","30","173.2","6.06","5.03","0.83",".240","81.0 %","40.6 %","7.8 %","3.21","4.76","5.24","1.5","883"
"Bruce Chen","Orioles","7","7","44.2","6.25","3.22","1.41",".235","79.2 %","38.2 %","11.9 %","3.22","4.77","4.61","0.6","769"
"Odalis Perez","Dodgers","31","31","196.1","5.87","2.02","1.19",".263","79.2 %","51.6 %","14.3 %","3.25","4.18","3.78","2.9","668"
"Curt Schilling","Red Sox","32","32","226.2","8.06","1.39","0.91",".284","75.8 %","40.5 %","9.2 %","3.26","3.11","3.35","6.5","73"
"Kazuhito Tadano","Indians","4","4","22.0","7.36","4.09","0.82",".279","70.5 %","33.8 %","6.5 %","3.27","4.37","5.19","0.3","1917"
"Jaret Wright","Braves","32","32","186.1","7.68","3.38","0.53",".292","71.8 %","46.1 %","6.1 %","3.28","3.29","3.90","4.5","415"
"Orlando Hernandez","Yankees","15","15","84.2","8.93","3.83","0.96",".284","81.9 %","36.5 %","8.9 %","3.30","3.90","4.21","1.7","823"
"Bobby Madritsch","Mariners","11","11","79.0","6.49","3.42","0.34",".268","72.2 %","40.6 %","3.6 %","3.30","3.35","4.35","2.2","2085"
"Wade Miller","Astros","15","15","88.2","7.51","4.47","1.12",".256","81.3 %","37.4 %","9.8 %","3.35","4.48","4.66","1.2","568"
"Doug Davis","Brewers","34","34","207.1","7.21","3.43","0.61",".290","75.1 %","47.5 %","7.0 %","3.39","3.57","4.06","4.4","1244"
"Tomo Ohka","Expos","15","15","84.2","4.04","2.13","1.17",".293","76.3 %","41.6 %","9.2 %","3.40","4.58","4.91","1.1","788"
"Chris Carpenter","Cardinals","28","28","182.0","7.52","1.88","1.19",".277","77.2 %","52.2 %","15.5 %","3.46","3.85","3.35","3.1","1292"
"Noah Lowry","Giants","14","14","88.0","7.26","2.56","0.92",".278","74.7 %","40.9 %","8.7 %","3.48","3.62","3.97","1.7","1833"
"Brad Radke","Twins","34","34","219.2","5.86","1.07","0.94",".293","73.9 %","43.0 %","8.6 %","3.48","3.55","3.91","5.0","748"
"Jake Westbrook","Indians","30","30","203.1","4.78","2.52","0.80",".276","71.4 %","62.5 %","12.4 %","3.50","4.05","3.91","2.9","412"
"Glendon Rusch","Cubs","16","16","97.2","6.63","1.84","0.83",".275","73.0 %","35.8 %","7.6 %","3.50","3.51","4.04","2.3","707"
"Roy Oswalt","Astros","35","35","236.0","7.78","2.36","0.65",".315","73.0 %","42.1 %","7.4 %","3.51","3.18","3.64","6.5","571"
"Tim Hudson","Athletics","27","27","188.2","4.91","2.10","0.38",".297","70.4 %","58.8 %","5.6 %","3.53","3.40","3.92","4.6","921"
"Brandon Webb","Diamondbacks","35","35","208.0","7.10","5.15","0.74",".285","71.0 %","64.3 %","16.8 %","3.59","4.41","4.04","2.6","1692"
"Livan Hernandez","Expos","35","35","255.0","6.56","2.93","0.92",".278","76.4 %","45.5 %","10.1 %","3.60","4.01","4.12","4.4","1116"
"Tom Glavine","Mets","33","33","212.1","4.62","2.97","0.85",".261","73.2 %","50.9 %","9.9 %","3.60","4.24","4.36","2.6","90"
"Joe Kennedy","Rockies","27","27","162.1","6.49","3.71","0.94",".294","79.4 %","48.1 %","10.4 %","3.66","4.35","4.43","2.8","1217"
"Matt Clement","Cubs","30","30","181.0","9.45","3.83","1.14",".279","77.9 %","49.4 %","15.4 %","3.68","4.08","3.59","3.0","271"
"Dave Bush","Blue Jays","16","16","97.2","5.90","2.30","1.01",".275","71.4 %","41.5 %","8.7 %","3.69","4.15","4.54","1.9","4635"
"Jason Marquis","Cardinals","32","32","201.1","6.17","3.13","1.16",".300","79.3 %","55.0 %","16.1 %","3.71","4.55","4.01","1.8","105"
"Kerry Wood","Cubs","22","22","140.1","9.24","3.27","1.03",".298","76.2 %","44.8 %","12.1 %","3.72","3.80","3.66","2.9","304"
"John Thomson","Braves","33","33","198.1","6.04","2.36","0.91",".305","72.9 %","47.4 %","10.4 %","3.72","3.90","3.97","3.2","453"
"David Wells","Padres","31","31","195.2","4.65","0.92","1.06",".274","72.6 %","47.6 %","10.5 %","3.73","3.88","3.94","3.1","855"
"A.J. Burnett","Marlins","19","19","118.0","8.31","2.90","0.69",".285","71.3 %","49.4 %","8.7 %","3.74","3.26","3.51","2.8","512"
"Josh Beckett","Marlins","26","26","156.2","8.73","3.10","0.92",".284","71.6 %","44.9 %","11.0 %","3.79","3.59","3.58","3.3","510"
"Gavin Floyd","Phillies","4","4","21.1","7.17","3.80","0.42",".302","75.2 %","48.4 %","5.3 %","3.80","3.75","4.41","0.4","3886"
"Brandon Backe","Astros","9","9","45.0","7.80","3.80","1.20",".331","81.2 %","38.8 %","10.7 %","3.80","4.38","4.42","0.6","1529"
"Freddy Garcia","- - -","31","31","210.0","7.89","2.74","0.94",".283","73.6 %","43.4 %","9.6 %","3.81","3.67","3.86","4.8","1077"
"Matt Wise","Brewers","3","3","11.2","2.31","1.54","0.00",".286","64.3 %","47.6 %","0.0 %","3.86","3.05","4.88","0.3","42"
"John Parrish","Orioles","1","1","2.1","15.43","11.57","0.00",".500","57.1 %","62.5 %","0.0 %","3.86","3.48","4.70","0.1","160"
"Mark Buehrle","White Sox","35","35","245.1","6.05","1.87","1.21",".295","73.0 %","48.8 %","13.7 %","3.89","4.17","3.82","4.5","225"
"Pedro Martinez","Red Sox","33","33","217.0","9.41","2.53","1.08",".291","73.2 %","38.2 %","10.4 %","3.90","3.58","3.66","4.9","200"
"Andy Pettitte","Astros","15","15","83.0","8.57","3.36","0.87",".276","71.6 %","51.7 %","13.8 %","3.90","3.52","3.26","1.9","840"
"Juan Dominguez","Rangers","4","4","23.0","5.48","1.96","0.78",".307","71.9 %","48.7 %","6.9 %","3.91","3.88","4.54","0.6","1796"
"Wil Ledezma","Tigers","8","8","41.1","5.01","2.83","0.44",".282","68.4 %","40.6 %","3.8 %","3.92","3.65","4.81","1.0","1669"
"Kelvim Escobar","Angels","33","33","208.1","8.25","3.28","0.91",".293","74.9 %","42.8 %","9.4 %","3.93","3.72","3.94","4.2","1298"
"Zach Day","Expos","19","19","116.2","4.71","3.47","1.00",".279","76.5 %","54.4 %","12.9 %","3.93","4.71","4.49","1.2","1496"
"Paul Byrd","Braves","19","19","114.1","6.22","1.50","1.42",".288","73.2 %","36.2 %","10.8 %","3.94","4.26","4.29","1.7","594"
"Dave Williams","Pirates","6","6","32.0","8.44","2.81","0.84",".253","65.1 %","51.1 %","11.1 %","3.94","3.61","3.59","0.6","1013"
"Rodrigo Lopez","Orioles","23","23","139.0","6.02","2.59","1.17",".289","75.9 %","46.2 %","11.8 %","3.95","4.30","4.18","2.1","150"
"Brett Tomko","Giants","31","31","193.0","5.04","2.94","0.84",".279","69.5 %","42.0 %","7.7 %","3.96","4.12","4.62","2.8","1056"
"Zack Greinke","Royals","24","24","145.0","6.21","1.61","1.61",".267","80.4 %","34.6 %","13.2 %","3.97","4.70","4.30","1.8","1943"
"Rich Harden","Athletics","31","31","189.2","7.92","3.84","0.76",".289","70.9 %","44.4 %","8.2 %","3.99","3.71","4.07","4.1","1772"
"Steve Trachsel","Mets","33","33","202.2","5.20","3.69","1.11",".273","73.1 %","42.8 %","10.1 %","4.00","4.80","4.93","1.5","898"
"Bronson Arroyo","Red Sox","29","29","175.1","7.03","2.36","0.82",".285","66.0 %","41.3 %","7.8 %","4.00","3.80","4.29","3.3","978"
"Jeff Weaver","Dodgers","34","34","220.0","6.26","2.74","0.78",".293","72.1 %","40.2 %","7.2 %","4.01","3.89","4.47","4.3","503"
"Mark Prior","Cubs","21","21","118.2","10.54","3.64","1.06",".320","76.7 %","35.7 %","10.1 %","4.02","3.53","3.66","2.9","301"
"Dontrelle Willis","Marlins","32","32","197.0","6.35","2.79","0.91",".306","71.7 %","44.7 %","9.5 %","4.02","4.01","4.20","3.1","1703"
"Greg Maddux","Cubs","33","33","212.2","6.39","1.40","1.48",".284","74.4 %","50.8 %","18.2 %","4.02","4.36","3.50","2.6","104"
"Ted Lilly","Blue Jays","32","32","197.1","7.66","4.06","1.19",".261","75.8 %","35.1 %","10.4 %","4.06","4.50","4.60","3.0","833"
"Kevin Brown","Yankees","22","22","132.0","5.66","2.39","0.95",".284","69.8 %","46.4 %","9.7 %","4.09","4.03","4.21","2.3","642"
"Gary Glover","Brewers","3","3","15.1","4.11","4.11","1.17",".264","72.1 %","50.9 %","11.8 %","4.11","5.59","5.47","0.0","234"
"Colby Lewis","Rangers","3","3","15.1","6.46","7.63","0.59",".267","78.1 %","37.8 %","6.7 %","4.11","5.20","5.74","0.1","1259"
"CC Sabathia","Indians","30","30","188.0","6.65","3.45","0.96",".284","72.7 %","39.1 %","8.9 %","4.12","4.21","4.52","2.8","404"
"Jamey Wright","Rockies","14","14","78.2","4.69","5.15","0.92",".284","77.2 %","50.6 %","10.3 %","4.12","5.27","5.36","0.6","715"
"Brian Lawrence","Padres","34","34","203.0","5.36","2.44","1.15",".303","74.3 %","51.9 %","13.4 %","4.12","4.44","4.13","1.8","1045"
"Russ Ortiz","Braves","34","34","204.2","6.29","4.93","1.01",".283","76.5 %","41.9 %","10.0 %","4.13","4.80","4.93","1.6","1124"
"Brian Powell","Phillies","2","2","13.0","7.62","1.38","2.08",".270","76.3 %","33.3 %","15.0 %","4.15","5.05","4.24","0.2","490"
"Adrian Hernandez","Brewers","1","1","4.1","8.31","14.54","0.00",".000","57.1 %","70.0 %","0.0 %","4.15","6.05","7.03","0.0","1504"
"Jeff Suppan","Cardinals","31","31","188.0","5.27","3.11","1.20",".277","72.6 %","48.4 %","13.1 %","4.16","4.77","4.49","1.4","633"
"Woody Williams","Cardinals","31","31","189.2","6.22","2.75","0.95",".289","72.0 %","37.4 %","8.1 %","4.18","4.10","4.57","2.9","1190"
"Jon Rauch","- - -","4","4","19.1","5.12","2.79","0.00",".365","69.0 %","39.3 %","0.0 %","4.19","2.84","5.12","0.7","1475"
"Roy Halladay","Blue Jays","21","21","133.0","6.43","2.64","0.88",".308","70.5 %","59.0 %","12.0 %","4.20","3.79","3.68","2.8","1303"
"Carlos Silva","Twins","33","33","203.0","3.37","1.55","1.02",".318","74.2 %","50.1 %","10.3 %","4.21","4.36","4.45","2.6","973"
"Jose Lima","Dodgers","24","24","151.1","4.82","1.55","1.96",".260","80.0 %","44.9 %","18.1 %","4.22","5.35","4.22","0.5","475"
"Jerome Williams","Giants","22","22","129.1","5.57","3.06","0.97",".270","70.0 %","50.1 %","11.5 %","4.24","4.63","4.57","1.0","1137"
"Randy Wolf","Phillies","23","23","136.2","5.86","2.37","1.32",".287","71.5 %","34.9 %","10.9 %","4.28","4.55","4.56","1.7","976"
"Mike Hampton","Braves","29","29","172.1","4.54","3.39","0.78",".309","73.3 %","51.9 %","10.1 %","4.28","4.32","4.42","1.9","430"
"Aaron Cook","Rockies","16","16","96.2","3.72","3.63","0.65",".309","74.9 %","58.7 %","8.5 %","4.28","4.59","4.85","1.2","1571"
"Ryan Drese","Rangers","33","33","203.1","4.16","2.57","0.71",".305","70.6 %","53.3 %","9.6 %","4.29","4.17","4.30","3.3","379"
"Kris Benson","- - -","31","31","200.1","6.02","2.74","0.67",".295","66.3 %","42.5 %","6.3 %","4.31","3.75","4.46","4.0","982"
"Mike Maroth","Tigers","33","33","217.0","4.48","2.45","1.04",".300","72.0 %","45.9 %","9.8 %","4.31","4.46","4.64","2.6","1508"
"Jon Lieber","Yankees","27","27","176.2","5.20","0.92","1.02",".323","67.8 %","48.4 %","9.9 %","4.33","3.71","3.87","3.5","287"
"Paul Wilson","Reds","29","29","183.2","5.73","3.09","1.27",".284","75.0 %","42.9 %","11.7 %","4.36","4.77","4.66","2.0","1234"
"Kirk Saarloos","Athletics","5","5","22.2","3.97","4.76","1.59",".273","80.8 %","50.0 %","18.2 %","4.37","6.31","5.40","-0.1","1516"
"Victor Zambrano","- - -","25","25","141.0","7.79","6.45","0.83",".269","73.0 %","45.9 %","9.6 %","4.40","5.01","5.17","0.9","1237"
"Mark Mulder","Athletics","33","33","225.2","5.58","3.31","1.00",".286","70.3 %","56.2 %","13.6 %","4.43","4.51","4.23","2.4","932"
"Mike Gosling","Diamondbacks","4","4","22.1","4.84","4.84","1.61",".265","81.6 %","46.5 %","14.8 %","4.43","6.05","5.44","-0.1","2204"
"Barry Zito","Athletics","34","34","213.0","6.89","3.42","1.18",".291","71.2 %","37.2 %","9.8 %","4.48","4.50","4.70","3.1","944"
"Shane Reynolds","Diamondbacks","1","1","2.0","0.00","9.00","0.00",".500","25.0 %","33.3 %","0.0 %","4.50","6.05","10.31","0.0","574"
"Ryan Glynn","Blue Jays","2","2","10.0","6.30","6.30","1.80",".233","85.5 %","28.1 %","14.3 %","4.50","6.95","6.34","-0.1","686"
"Tanyon Sturtze","Yankees","3","3","14.0","3.86","1.93","0.00",".283","58.8 %","37.0 %","0.0 %","4.50","3.05","4.88","0.5","1230"
"Travis Smith","Braves","4","4","22.0","6.55","2.86","2.05",".246","81.8 %","46.4 %","19.2 %","4.50","5.64","4.36","-0.1","1522"
"Vicente Padilla","Phillies","20","20","115.1","6.40","2.81","1.25",".287","71.5 %","44.4 %","11.6 %","4.53","4.63","4.52","1.3","964"
"Rob Bell","Devil Rays","19","19","107.1","4.19","3.19","0.92",".260","65.4 %","45.5 %","8.5 %","4.53","4.62","5.01","1.2","1492"
"Matt Ginter","Mets","14","14","67.1","4.81","2.67","1.07",".298","68.6 %","42.7 %","9.0 %","4.54","4.64","4.97","0.7","233"
"Kip Wells","Pirates","24","24","138.1","7.55","4.29","0.91",".313","74.0 %","46.1 %","10.5 %","4.55","4.25","4.30","1.9","1012"
"Dustin Hermanson","Giants","18","18","104.0","6.40","3.03","1.12",".296","69.9 %","39.7 %","9.9 %","4.59","4.32","4.48","1.2","195"
"Mike Mussina","Yankees","27","27","164.2","7.21","2.19","1.20",".311","68.2 %","43.4 %","12.4 %","4.59","3.95","3.75","3.0","837"
"Mike Bacsik","Rangers","3","3","15.2","3.45","0.57","1.15",".269","67.9 %","38.5 %","8.7 %","4.60","4.52","4.94","0.2","863"
"Adam Eaton","Padres","33","33","199.1","6.91","2.35","1.26",".291","67.5 %","37.1 %","10.6 %","4.61","4.27","4.33","2.4","1029"
"Dave Borkowski","Orioles","8","8","46.2","6.75","1.93","0.96",".315","69.6 %","44.0 %","9.8 %","4.63","3.71","3.87","1.0","2002"
"Jarrod Washburn","Angels","25","25","149.1","5.18","2.41","1.21",".284","69.7 %","38.9 %","9.9 %","4.64","4.52","4.71","1.7","40"
"Josh Fogg","Pirates","32","32","178.1","4.14","3.33","0.86",".295","69.5 %","46.4 %","9.0 %","4.64","4.61","4.88","1.7","989"
"Joel Pineiro","Mariners","21","21","140.2","7.10","2.75","1.34",".295","70.5 %","43.9 %","13.1 %","4.67","4.41","4.09","1.8","1094"
"Jung Bong","Reds","3","3","15.1","6.46","5.87","1.76",".275","61.4 %","43.1 %","15.0 %","4.70","6.11","5.42","-0.1","82"
"John Lackey","Angels","32","32","197.1","6.52","2.74","1.00",".310","69.3 %","44.1 %","9.2 %","4.70","4.08","4.36","3.1","1507"
"Chris Young","Rangers","7","7","36.1","6.69","2.48","1.73",".259","70.7 %","32.5 %","12.7 %","4.71","5.06","4.70","0.5","3196"
"Kazuhisa Ishii","Dodgers","31","31","172.0","5.18","5.13","1.10",".254","70.3 %","31.0 %","8.2 %","4.71","5.26","5.78","0.8","655"
"Mark Redman","Athletics","32","32","191.0","4.81","3.20","1.32",".303","72.0 %","40.1 %","11.1 %","4.71","5.05","5.03","1.4","491"
"Matt Morris","Cardinals","32","32","202.0","5.84","2.50","1.56",".273","69.3 %","51.3 %","17.7 %","4.72","4.93","4.07","1.1","1172"
"Erik Bedard","Orioles","26","26","133.1","8.03","4.72","0.88",".328","69.0 %","37.8 %","7.5 %","4.72","4.26","4.84","2.4","126"
"Kirk Rueter","Giants","33","33","190.1","2.65","3.12","0.99",".293","70.1 %","49.9 %","10.2 %","4.73","4.95","5.05","0.7","1128"
"Sun-Woo Kim","Expos","17","17","85.1","5.17","3.59","1.37",".301","67.9 %","48.6 %","14.4 %","4.75","5.22","4.74","0.4","197"
"Eric Milton","Phillies","34","34","201.0","7.21","3.36","1.93",".263","76.5 %","30.0 %","13.5 %","4.75","5.36","4.83","1.4","743"
"Kenny Rogers","Rangers","35","35","211.2","5.36","2.81","1.02",".315","71.2 %","43.6 %","10.0 %","4.76","4.40","4.53","3.2","1277"
"Jon Garland","White Sox","33","33","216.2","4.65","3.12","1.41",".268","70.0 %","45.5 %","13.3 %","4.82","5.15","4.78","1.9","232"
"Mark Hendrickson","Devil Rays","30","30","180.0","4.20","2.30","1.05",".294","64.5 %","44.6 %","9.8 %","4.85","4.52","4.70","2.1","1574"
"Kevin Millwood","Phillies","25","25","141.0","7.98","3.26","0.89",".327","68.3 %","40.5 %","9.3 %","4.85","3.80","4.02","2.9","106"
"Victor Santos","Brewers","28","28","150.0","6.66","3.30","1.02",".307","66.6 %","40.7 %","8.4 %","4.86","4.28","4.72","2.4","446"
"Aaron Harang","Reds","28","28","161.0","6.99","2.96","1.45",".301","73.0 %","41.3 %","13.5 %","4.86","4.68","4.28","1.8","1451"
"Tony Armas Jr.","Expos","16","16","72.0","6.75","5.62","1.62",".260","76.5 %","34.9 %","14.6 %","4.87","5.94","5.35","-0.1","761"
"Jeremy Bonderman","Tigers","32","32","182.2","8.18","3.60","1.18",".276","69.2 %","48.3 %","13.9 %","4.88","4.30","3.94","2.4","1667"
"Miguel Batista","Blue Jays","31","31","190.0","4.59","4.36","0.95",".287","68.6 %","52.2 %","11.6 %","4.88","4.90","4.81","1.6","46"
"Ryan Franklin","Mariners","32","32","200.1","4.67","2.74","1.48",".289","72.0 %","35.0 %","10.9 %","4.90","5.22","5.22","1.3","1076"
"Cory Lidle","- - -","34","34","211.1","5.37","2.60","1.15",".287","66.9 %","48.8 %","13.4 %","4.90","4.53","4.22","2.7","926"
"Javier Vazquez","Yankees","32","32","198.0","6.82","2.73","1.50",".272","69.2 %","37.7 %","12.6 %","4.91","4.78","4.49","2.0","801"
"Jorge Sosa","Devil Rays","8","8","47.2","7.74","3.78","1.51",".291","65.7 %","33.1 %","10.8 %","4.91","4.77","4.79","0.5","1228"
"Terry Mulholland","Twins","15","15","87.1","4.12","2.16","1.24",".323","70.2 %","47.9 %","12.4 %","4.95","4.78","4.57","0.6","665"
"Wilson Alvarez","Dodgers","15","15","76.1","7.07","1.89","1.06",".296","63.2 %","35.1 %","8.7 %","4.95","3.80","4.20","1.6","1193"
"Tim Wakefield","Red Sox","30","30","185.1","5.54","3.06","1.41",".276","66.1 %","46.6 %","11.9 %","4.95","5.13","4.97","1.4","219"
"Dewon Brazelton","Devil Rays","21","21","116.0","4.81","3.88","0.93",".281","67.4 %","36.8 %","6.9 %","4.97","4.90","5.70","1.2","1195"
"Brad Hennessey","Giants","7","7","34.1","6.55","3.93","0.52",".331","60.9 %","47.9 %","5.9 %","4.98","3.66","4.31","0.6","3720"
"Chris Capuano","Brewers","17","17","88.1","8.15","3.77","1.83",".298","72.4 %","37.7 %","16.8 %","4.99","5.31","4.39","0.4","1701"
"Gil Meche","Mariners","23","23","127.2","6.98","3.31","1.48",".300","73.0 %","36.7 %","11.8 %","5.01","4.86","4.70","1.1","1089"
"Bartolo Colon","Angels","34","34","208.1","6.83","3.07","1.64",".282","70.8 %","38.2 %","13.5 %","5.01","4.97","4.51","1.4","375"
